Date,Close,Volume,Open,High,Low
08-10-2018,110.85,29477750,111.66,112.03,109.34
09-10-2018,112.26,26187200,111.14,113.08,110.8
10-10-2018,106.16,60560740,111.24,111.5,105.79
11-10-2018,105.91,63629560,105.35,108.93,104.2
12-10-2018,109.57,46718940,109.01,111.24,107.12
15-10-2018,107.6,32001580,108.91,109.48,106.9468
16-10-2018,111,31154210,109.54,111.41,108.95
17-10-2018,110.71,25873980,111.68,111.81,109.5482
18-10-2018,108.5,31794350,110.1,110.53,107.83
19-10-2018,108.66,32751070,108.93,110.86,108.21
22-10-2018,109.63,26484510,109.32,110.54,108.24
23-10-2018,108.1,43531680,107.77,108.97,105.11
24-10-2018,102.32,63236450,108.41,108.49,101.5901
25-10-2018,108.3,61550620,106.55,109.27,106.15
26-10-2018,106.96,55480820,105.69,108.75,104.76
29-10-2018,103.85,55101300,108.105,108.7,101.63
30-10-2018,103.73,65273360,103.66,104.38,100.11
31-10-2018,106.81,51042220,105.435,108.14,105.39
01-11-2018,105.92,33243300,107.05,107.32,105.53
02-11-2018,106.16,37591700,106.48,107.32,104.975
05-11-2018,107.51,27908600,106.37,107.74,105.9
06-11-2018,107.72,24217640,107.38,108.84,106.28
07-11-2018,111.96,37864220,109.44,112.24,109.4
08-11-2018,111.75,25479410,111.8,112.21,110.91
09-11-2018,109.57,32011930,110.85,111.45,108.76
12-11-2018,106.87,33595910,109.42,109.96,106.1
13-11-2018,106.94,35360680,107.55,108.74,106.64
14-11-2018,104.97,39451290,108.1,108.26,104.47
15-11-2018,107.28,38430970,104.99,107.8,103.91
16-11-2018,108.29,33494830,107.08,108.88,106.8
19-11-2018,104.62,43324610,108.27,108.56,103.55
20-11-2018,101.71,63988520,101.8,102.97,99.3528
21-11-2018,103.11,28121990,103.6,104.43,102.24
23-11-2018,103.07,13823100,102.17,103.8099,102
26-11-2018,106.47,32258530,104.79,106.63,104.58
27-11-2018,107.14,29063180,106.27,107.33,105.36
28-11-2018,111.12,46132310,107.89,111.33,107.86
29-11-2018,110.19,27792540,110.33,111.115,109.03
30-11-2018,110.89,33652230,110.7,110.97,109.36
03-12-2018,112.09,34293960,113,113.42,110.73
04-12-2018,108.52,44572140,111.94,112.6373,108.2115
06-12-2018,109.19,47866160,105.82,109.24,105
07-12-2018,104.82,44391210,108.38,109.45,104.3
10-12-2018,107.59,40463870,104.8,107.98,103.89
11-12-2018,108.59,42342240,109.8,110.95,107.44
12-12-2018,109.08,36169700,110.89,111.27,109.04
13-12-2018,109.45,30600890,109.58,110.87,108.63
14-12-2018,106.03,46961130,108.25,109.26,105.5
17-12-2018,102.89,56837160,105.41,105.8,101.71
18-12-2018,103.97,48033550,103.75,104.51,102.52
19-12-2018,103.69,68110780,103.65,106.88,101.35
20-12-2018,101.51,70221500,103.05,104.31,98.78
21-12-2018,98.23,110945000,101.63,103,97.46
24-12-2018,94.13,43935190,97.68,97.97,93.98
26-12-2018,100.56,51330280,95.14,100.69,93.96
27-12-2018,101.18,49162950,99.3,101.19,96.4
28-12-2018,100.39,38160810,102.09,102.41,99.52
31-12-2018,101.57,33161320,101.29,102.4,100.44
02-01-2019,101.12,35145360,99.55,101.75,98.94
03-01-2019,97.4,42111650,100.1,100.185,97.2
04-01-2019,101.93,43982700,99.72,102.51,98.93
07-01-2019,102.06,35567820,101.64,103.2681,100.98
08-01-2019,102.8,31322920,103.04,103.97,101.7134
09-01-2019,104.27,32261890,103.86,104.88,103.2445
10-01-2019,103.6,29978930,103.22,103.75,102.38
11-01-2019,102.8,28235260,103.19,103.44,101.64
14-01-2019,102.05,27194560,101.9,102.8716,101.26
15-01-2019,105.01,31537490,102.51,105.05,101.88
16-01-2019,105.38,29655860,105.26,106.255,104.96
17-01-2019,106.12,27151570,105,106.625,104.76
18-01-2019,107.71,37299850,107.46,107.9,105.91
22-01-2019,105.68,32092050,106.75,107.1,104.86
23-01-2019,106.71,25512110,106.12,107.04,105.34
24-01-2019,106.2,23125910,106.86,107,105.34
25-01-2019,107.17,31182240,107.24,107.88,106.59
28-01-2019,105.08,29402020,106.26,106.48,104.66
29-01-2019,102.94,31262200,104.88,104.97,102.17
30-01-2019,106.38,47203190,104.62,106.38,104.33
31-01-2019,104.43,55442870,103.8,105.22,103.18
01-02-2019,102.78,35243730,103.775,104.0999,102.35
04-02-2019,105.74,31216260,102.87,105.8,102.77
05-02-2019,107.22,27270810,106.06,107.27,105.96
06-02-2019,106.03,20577980,107,107,105.53
07-02-2019,105.27,29735930,105.185,105.59,104.29
08-02-2019,105.67,21453990,104.39,105.78,104.2603
11-02-2019,105.25,18753750,106.2,106.58,104.965
12-02-2019,106.89,25018670,106.14,107.14,105.48
13-02-2019,106.81,18337830,107.5,107.78,106.71
14-02-2019,106.9,21745770,106.31,107.29,105.66
15-02-2019,108.22,26589160,107.91,108.3,107.3624
19-02-2019,108.17,17982860,107.79,108.66,107.78
20-02-2019,107.15,21603580,107.86,107.94,106.29
21-02-2019,109.41,28856200,106.9,109.48,106.87
22-02-2019,110.97,27746840,110.05,111.2,109.82
25-02-2019,111.59,23723500,111.76,112.18,111.26
26-02-2019,112.36,21513210,111.26,113.24,111.17
27-02-2019,112.17,21471170,111.69,112.36,110.88
28-02-2019,112.03,28948570,112.04,112.88,111.73
01-03-2019,112.53,20821260,112.89,113.02,111.665
04-03-2019,112.26,25869380,113.02,113.25,110.8
05-03-2019,111.7,19090780,112.25,112.39,111.23
06-03-2019,111.75,17651130,111.87,112.66,111.43
07-03-2019,110.39,25320540,111.4,111.55,109.865
08-03-2019,110.51,22803110,109.16,110.71,108.8
11-03-2019,112.83,24525610,110.99,112.95,110.98
12-03-2019,113.62,26103480,112.82,113.99,112.6499
13-03-2019,114.5,35311160,114.13,115,113.78
14-03-2019,114.59,30414810,114.54,115.2,114.33
15-03-2019,115.91,54025470,115.34,117.25,114.59
18-03-2019,117.57,31098780,116.17,117.61,116.05
19-03-2019,117.65,35304130,118.09,118.44,116.99
20-03-2019,117.52,26110540,117.39,118.75,116.71
21-03-2019,120.22,29747140,117.135,120.82,117.09
22-03-2019,117.05,32346990,119.5,119.59,117.04
25-03-2019,117.66,26641480,116.56,118.01,116.3224
26-03-2019,117.91,25986230,118.62,118.705,116.85
27-03-2019,116.77,22669440,117.875,118.21,115.5215
28-03-2019,116.93,17527550,117.44,117.58,116.13
29-03-2019,117.94,25375220,118.07,118.32,116.96
01-04-2019,119.02,19885780,118.95,119.1085,118.1
02-04-2019,119.19,16413430,119.06,119.48,118.52
03-04-2019,119.97,22354020,119.86,120.43,119.15
04-04-2019,119.36,20090610,120.1,120.23,118.38
05-04-2019,119.89,15737990,119.39,120.23,119.37
08-04-2019,119.93,15113170,119.81,120.02,118.64
09-04-2019,119.28,17275470,118.63,119.54,118.58
10-04-2019,120.19,14540330,119.76,120.35,119.54
11-04-2019,120.33,13758010,120.54,120.85,119.92
12-04-2019,120.95,19719730,120.64,120.98,120.37
15-04-2019,121.05,15526260,120.94,121.58,120.57
16-04-2019,120.77,14054870,121.64,121.65,120.1
17-04-2019,121.77,19012080,121.24,121.85,120.54
18-04-2019,123.37,27651970,122.19,123.52,121.3018
